CustomerID,FirstName,LastName,Email,Country
1,Baptista,Tristão,extent1965@outlook.com,Bélgica
2,Ovídio,Guedes,frequent2016@example.com,Eslováquia
3,Vicência,Magaldi,corner1985@yandex.com,Nauru
4,Gastão,Roza,nations1837@duck.com,Domínica
5,Ulisses,Strozzi,interesting1936@outlook.com,Chipre
6,Mónica,Pasti,incorporated1987@yahoo.com,Estónia
7,Arcelino,Villares da Costa,characterization1924@live.com,Suíça
8,Susana,Sa,limits1999@example.org,China
9,Nisa,Sodre ?,netherlands1862@gmail.com,Monserrate
10,Dóris,Peterele,translator2028@example.org,África do Sul
11,Franca,de Paiva,travels1941@live.com,Gana
12,Martina,Greco,swaziland1852@yandex.com,Guiné-Bissau
13,Adelaide,Belcavello,norman1934@outlook.com,Barém
14,Albano,Flozillo,diff1815@yandex.com,Saara Ocidental
15,Paraíso,Altoé,optical1916@yahoo.com,Martinica
16,Gerberto,Curcio,location1831@duck.com,Tonga
17,Virgulino,Voluzia,axis1824@gmail.com,Território Britânico do Oceano Índico
18,Filipo,Rugero,journalism1835@yandex.com,Botswana
19,Ciara,Fileti,cruz2044@outlook.com,Sérvia
20,Dúnio,Pinheiro,irs1852@example.org,Nova Caledónia
21,Vivaldo,Massari,realm2071@yandex.com,Ceuta e Melilha
22,Amarília,Goese,castle2024@duck.com,Bolívia
23,Vanda,Capucho,hurt1836@live.com,Andorra
24,Neiza,Rangel,including1870@protonmail.com,Coreia do Norte
25,Ingrid,Bourguignon,advise2039@example.com,Marrocos
26,Andreína,Sarnaglia,signing1887@protonmail.com,Irão
27,Otilina,de Oliveria,nicholas2077@example.com,Jamaica
28,Lícia,Ziviani,select1850@outlook.com,Aruba
29,Duílio,Renzo,performance1923@gmail.com,Liechtenstein
30,Amado,Bassos,hair2081@example.com,São Vicente e Granadinas
31,Miriam,Bosio,zus2062@example.com,Roménia
32,Livramento,Pagot,comfort2054@outlook.com,Líbia
33,Francília,Mørch,alex2014@protonmail.com,Bermudas
34,Manel,D'Altoè,strengths2096@example.com,Uzbequistão
